Brand,Model,Year,Month/Year,Average Price,Min Price,Max Price
Audi,Q3,2021,Apr-26,1801000,1748000,1886000
Audi,Q3,2021,Aug-26,2033000,1720000,2233000
Audi,Q3,2021,Aug-26,1978000,1840000,2070000
Audi,Q3,2021,Aug-26,1862000,1711000,1978000
Audi,Q3,2021,Dec-26,1272000,1188000,1306000
Audi,Q3,2021,Dec-26,1964000,1876000,2104000
Audi,Q3,2021,Dec-26,1985000,1932000,2024000
Audi,Q3,2021,Feb-26,873000,841000,903000
Audi,Q3,2021,Feb-26,1266000,1188000,1330000
Audi,Q3,2021,Jan-26,1272000,1188000,1330000
Audi,Q3,2021,Jan-26,2224000,2104000,2280000
Audi,Q3,2021,Jan-26,1521000,1495000,1555000
Audi,Q3,2021,Jul-26,1895000,1840000,2024000
Audi,Q3,2021,Jul-26,1940000,1826000,1978000
Audi,Q3,2021,Jun-26,1909000,1840000,2024000
Audi,Q3,2021,Jun-26,1921000,1748000,1978000
Audi,Q3,2021,Mar-26,1268000,1188000,1330000
Audi,Q3,2021,Mar-26,2001000,1748000,2208000
Audi,Q3,2021,May-26,1971000,1900000,2090000
Audi,Q3,2021,May-26,1849000,1794000,1886000
Audi,Q3,2021,Nov-26,1964000,1876000,2104000
Audi,Q3,2021,Nov-26,2042000,2006000,2070000
Audi,Q3,2021,Oct-26,1918000,1805000,1995000
Audi,Q3,2021,Oct-26,1656000,1610000,1702000
Audi,Q3,2021,Sep-26,1872000,1568000,2138000
Audi,Q3,2021,Sep-26,1948000,1812000,2070000
Audi,Q3,2021,Sep-26,1751000,1679000,1932000
BMW,316i,2014-2015,Apr-26,538000,520000,555000
BMW,316i,2014-2015,Apr-26,492000,450000,545000
BMW,316i,2014-2015,Apr-26,430500,399000,461000
BMW,316i,2014-2015,Apr-26,372000,333000,423000
BMW,316i,2014-2015,Apr-26,342000,318000,371000
BMW,316i,2014-2015,Apr-26,360000,342000,366000
BMW,316i,2014-2015,Apr-26,587000,532000,656000
BMW,316i,2014-2015,Apr-26,1090500,1030000,1150000
BMW,316i,2014-2015,Aug-26,510000,470000,545000
BMW,316i,2014-2015,Aug-26,472000,456000,499000
BMW,316i,2014-2015,Aug-26,424000,380000,456000
BMW,316i,2014-2015,Aug-26,368000,347000,399000
BMW,316i,2014-2015,Aug-26,341500,323000,366000
BMW,316i,2014-2015,Aug-26,426500,371000,475000
BMW,316i,2014-2015,Aug-26,881500,817000,936000
BMW,316i,2014-2015,Aug-26,1031000,902000,1104000
BMW,316i,2014-2015,Aug-26,944000,819000,1058000
BMW,316i,2014-2015,Dec-26,335000,335000,335000
BMW,316i,2014-2015,Dec-26,500500,450000,540000
BMW,316i,2014-2015,Dec-26,463000,437000,485000
BMW,316i,2014-2015,Dec-26,391500,356000,428000
BMW,316i,2014-2015,Dec-26,362500,340000,380000
BMW,316i,2014-2015,Dec-26,341000,328000,366000
BMW,316i,2014-2015,Dec-26,524000,456000,589000
BMW,316i,2014-2015,Dec-26,1026000,893000,1131000
BMW,316i,2014-2015,Dec-26,1066000,966000,1150000
BMW,316i,2014-2015,Feb-26,503500,480000,530000
BMW,316i,2014-2015,Feb-26,444000,428000,456000
BMW,316i,2014-2015,Feb-26,342500,323000,361000
BMW,316i,2014-2015,Feb-26,343500,333000,361000
BMW,316i,2014-2015,Feb-26,578000,523000,637000
BMW,316i,2014-2015,Feb-26,1157500,1093000,1235000
BMW,316i,2014-2015,Jan-26,458000,420000,500000
BMW,316i,2014-2015,Jan-26,502500,475000,530000
BMW,316i,2014-2015,Jan-26,452000,428000,466000
BMW,316i,2014-2015,Jan-26,385000,347000,428000
BMW,316i,2014-2015,Jan-26,351000,318000,380000
BMW,316i,2014-2015,Jan-26,342500,323000,356000
BMW,316i,2014-2015,Jan-26,564500,513000,618000
BMW,316i,2014-2015,Jan-26,1040500,903000,1140000
BMW,316i,2014-2015,Jan-26,889500,810000,1012000
BMW,316i,2014-2015,Jul-26,533000,485000,560000
BMW,316i,2014-2015,Jul-26,474000,450000,510000
BMW,316i,2014-2015,Jul-26,432000,399000,466000
BMW,316i,2014-2015,Jul-26,370500,342000,390000
BMW,316i,2014-2015,Jul-26,342000,328000,366000
BMW,316i,2014-2015,Jul-26,419500,356000,494000
BMW,316i,2014-2015,Jul-26,784500,703000,903000
