Brand,Model,Year,Month/Year,Average Price,Min Price,Max Price
Audi,Q3,2021,Apr-25,1801000,1748000,1886000
Audi,Q3,2021,Aug-23,2033000,1720000,2233000
Audi,Q3,2021,Aug-24,1978000,1840000,2070000
Audi,Q3,2021,Aug-25,1862000,1711000,1978000
Audi,Q3,2021,Dec-22,1272000,1188000,1306000
Audi,Q3,2021,Dec-23,1964000,1876000,2104000
Audi,Q3,2021,Dec-24,1985000,1932000,2024000
Audi,Q3,2021,Feb-22,873000,841000,903000
Audi,Q3,2021,Feb-23,1266000,1188000,1330000
Audi,Q3,2021,Jan-23,1272000,1188000,1330000
Audi,Q3,2021,Jan-24,2224000,2104000,2280000
Audi,Q3,2021,Jan-26,1521000,1495000,1555000
Audi,Q3,2021,Jul-24,1895000,1840000,2024000
Audi,Q3,2021,Jul-25,1940000,1826000,1978000
Audi,Q3,2021,Jun-24,1909000,1840000,2024000
Audi,Q3,2021,Jun-25,1921000,1748000,1978000
Audi,Q3,2021,Mar-23,1268000,1188000,1330000
Audi,Q3,2021,Mar-25,2001000,1748000,2208000
Audi,Q3,2021,May-24,1971000,1900000,2090000
Audi,Q3,2021,May-25,1849000,1794000,1886000
Audi,Q3,2021,Nov-23,1964000,1876000,2104000
Audi,Q3,2021,Nov-24,2042000,2006000,2070000
Audi,Q3,2021,Oct-23,1918000,1805000,1995000
Audi,Q3,2021,Oct-25,1656000,1610000,1702000
Audi,Q3,2021,Sep-23,1872000,1568000,2138000
Audi,Q3,2021,Sep-24,1948000,1812000,2070000
Audi,Q3,2021,Sep-25,1751000,1679000,1932000
BMW,316i,2014-2015,Apr-17,538000,520000,555000
BMW,316i,2014-2015,Apr-18,492000,450000,545000
BMW,316i,2014-2015,Apr-19,430500,399000,461000
BMW,316i,2014-2015,Apr-20,372000,333000,423000
BMW,316i,2014-2015,Apr-21,342000,318000,371000
BMW,316i,2014-2015,Apr-22,360000,342000,366000
BMW,316i,2014-2015,Apr-23,587000,532000,656000
BMW,316i,2014-2015,Apr-25,1090500,1030000,1150000
BMW,316i,2014-2015,Aug-17,510000,470000,545000
BMW,316i,2014-2015,Aug-18,472000,456000,499000
BMW,316i,2014-2015,Aug-19,424000,380000,456000
BMW,316i,2014-2015,Aug-20,368000,347000,399000
BMW,316i,2014-2015,Aug-21,341500,323000,366000
BMW,316i,2014-2015,Aug-22,426500,371000,475000
BMW,316i,2014-2015,Aug-23,881500,817000,936000
BMW,316i,2014-2015,Aug-24,1031000,902000,1104000
BMW,316i,2014-2015,Aug-25,944000,819000,1058000
BMW,316i,2014-2015,Dec-14,335000,335000,335000
BMW,316i,2014-2015,Dec-17,500500,450000,540000
BMW,316i,2014-2015,Dec-18,463000,437000,485000
BMW,316i,2014-2015,Dec-19,391500,356000,428000
BMW,316i,2014-2015,Dec-20,362500,340000,380000
BMW,316i,2014-2015,Dec-21,341000,328000,366000
BMW,316i,2014-2015,Dec-22,524000,456000,589000
BMW,316i,2014-2015,Dec-23,1026000,893000,1131000
BMW,316i,2014-2015,Dec-24,1066000,966000,1150000
BMW,316i,2014-2015,Feb-18,503500,480000,530000
BMW,316i,2014-2015,Feb-19,444000,428000,456000
BMW,316i,2014-2015,Feb-21,342500,323000,361000
BMW,316i,2014-2015,Feb-22,343500,333000,361000
BMW,316i,2014-2015,Feb-23,578000,523000,637000
BMW,316i,2014-2015,Feb-24,1157500,1093000,1235000
BMW,316i,2014-2015,Jan-17,458000,420000,500000
BMW,316i,2014-2015,Jan-18,502500,475000,530000
BMW,316i,2014-2015,Jan-19,452000,428000,466000
BMW,316i,2014-2015,Jan-20,385000,347000,428000
BMW,316i,2014-2015,Jan-21,351000,318000,380000
BMW,316i,2014-2015,Jan-22,342500,323000,356000
BMW,316i,2014-2015,Jan-23,564500,513000,618000
BMW,316i,2014-2015,Jan-24,1040500,903000,1140000
BMW,316i,2014-2015,Jan-26,889500,810000,1012000
BMW,316i,2014-2015,Jul-17,533000,485000,560000
BMW,316i,2014-2015,Jul-18,474000,450000,510000
BMW,316i,2014-2015,Jul-19,432000,399000,466000
BMW,316i,2014-2015,Jul-20,370500,342000,390000
BMW,316i,2014-2015,Jul-21,342000,328000,366000
BMW,316i,2014-2015,Jul-22,419500,356000,494000
BMW,316i,2014-2015,Jul-23,784500,703000,903000
BMW,316i,2014-2015,Jul-24,1121000,1012000,1242000
BMW,316i,2014-2015,Jul-25,976500,865000,1150000
BMW,316i,2014-2015,Jun-17,527000,495000,555000
BMW,316i,2014-2015,Jun-18,480500,450000,535000
BMW,316i,2014-2015,Jun-19,439500,409000,466000
BMW,316i,2014-2015,Jun-20,370500,328000,409000
BMW,316i,2014-2015,Jun-21,338000,318000,361000
BMW,316i,2014-2015,Jun-22,394500,342000,456000
BMW,316i,2014-2015,Jun-23,717500,485000,846000
BMW,316i,2014-2015,Jun-24,1023000,828000,1288000
BMW,316i,2014-2015,Jun-25,993500,920000,1104000
BMW,316i,2014-2015,Mar-17,568000,530000,600000
BMW,316i,2014-2015,Mar-18,504000,450000,550000
BMW,316i,2014-2015,Mar-19,442500,418000,461000
BMW,316i,2014-2015,Mar-20,380000,342000,428000
BMW,316i,2014-2015,Mar-22,344000,323000,366000
BMW,316i,2014-2015,Mar-23,585000,523000,665000
BMW,316i,2014-2015,Mar-24,1164500,1093000,1283000
BMW,316i,2014-2015,Mar-25,1047500,911000,1127000
BMW,316i,2014-2015,May-17,534000,520000,555000
BMW,316i,2014-2015,May-18,485500,450000,550000
BMW,316i,2014-2015,May-19,416500,394000,437000
BMW,316i,2014-2015,May-20,373000,333000,418000
BMW,316i,2014-2015,May-21,342500,318000,361000
BMW,316i,2014-2015,May-22,365500,342000,399000
BMW,316i,2014-2015,May-23,597500,485000,713000
BMW,316i,2014-2015,May-24,1075500,922000,1330000
BMW,316i,2014-2015,May-25,1013500,920000,1104000
BMW,316i,2014-2015,Nov-16,413000,385000,450000
