Brand,Model,Year,Price,Trim,Image Paths,Length (mm),Width (mm),Height (mm),Wheelbase (mm),Number of Seats,Combined Maximum Power (HP @ RPM),Combined Maximum Torque (N.m @ RPM),Maximum Speed (Km/h),Acceleration (0 - 100 km/h),Fuel Tank Capacity (Litre),Combined Fuel/Energy Consumption (Liter/100 KM),Cylinders,Recommend Fuel Grade,Number of Gears
Alfa,Romeo Giulia,2025.0,2749000,Sprint,images\Alfa Romeo Giulia 2025\car_img_1.jpg; images\Alfa Romeo Giulia 2025\car_img_2.jpg; images\Alfa Romeo Giulia 2025\car_img_3.jpg; images\Alfa Romeo Giulia 2025\car_img_4.jpg; images\Alfa Romeo Giulia 2025\car_img_5.jpg; images\Alfa Romeo Giulia 2025\car_img_6.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alfa,Romeo Giulia,2025.0,3149000,Veloce,images\Alfa Romeo Giulia 2025\car_img_1.jpg; images\Alfa Romeo Giulia 2025\car_img_2.jpg; images\Alfa Romeo Giulia 2025\car_img_3.jpg; images\Alfa Romeo Giulia 2025\car_img_4.jpg; images\Alfa Romeo Giulia 2025\car_img_5.jpg; images\Alfa Romeo Giulia 2025\car_img_6.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alfa,Romeo Stelvio,2025.0,3550000,Veloce,images\Alfa Romeo Stelvio 2025\car_img_1.jpg; images\Alfa Romeo Stelvio 2025\car_img_2.jpg; images\Alfa Romeo Stelvio 2025\car_img_3.jpg; images\Alfa Romeo Stelvio 2025\car_img_4.jpg; images\Alfa Romeo Stelvio 2025\car_img_5.jpg; images\Alfa Romeo Stelvio 2025\car_img_6.jpg; images\Alfa Romeo Stelvio 2025\car_img_7.jpg; images\Alfa Romeo Stelvio 2025\car_img_8.jpg; images\Alfa Romeo Stelvio 2025\car_img_9.jpg; images\Alfa Romeo Stelvio 2025\car_img_10.jpg; images\Alfa Romeo Stelvio 2025\car_img_11.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alfa,Romeo Stelvio,2025.0,3325000,Sprint,images\Alfa Romeo Stelvio 2025\car_img_1.jpg; images\Alfa Romeo Stelvio 2025\car_img_2.jpg; images\Alfa Romeo Stelvio 2025\car_img_3.jpg; images\Alfa Romeo Stelvio 2025\car_img_4.jpg; images\Alfa Romeo Stelvio 2025\car_img_5.jpg; images\Alfa Romeo Stelvio 2025\car_img_6.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alfa,Romeo Tonale,2025.0,2825000,Veloce,images\Alfa Romeo Tonale 2025\car_img_1.jpg; images\Alfa Romeo Tonale 2025\car_img_2.jpg; images\Alfa Romeo Tonale 2025\car_img_3.jpg; images\Alfa Romeo Tonale 2025\car_img_4.jpg; images\Alfa Romeo Tonale 2025\car_img_5.jpg; images\Alfa Romeo Tonale 2025\car_img_6.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alfa,Romeo Tonale,2025.0,2625000,Sprint,images\Alfa Romeo Tonale 2025\car_img_1.jpg; images\Alfa Romeo Tonale 2025\car_img_2.jpg; images\Alfa Romeo Tonale 2025\car_img_3.jpg; images\Alfa Romeo Tonale 2025\car_img_4.jpg; images\Alfa Romeo Tonale 2025\car_img_5.jpg; images\Alfa Romeo Tonale 2025\car_img_6.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arcfox,Alpha S5,2026.0,1649900,Pro,images\Arcfox Alpha S5 2026\car_img_1.jpg; images\Arcfox Alpha S5 2026\car_img_2.jpg; images\Arcfox Alpha S5 2026\car_img_3.jpg; images\Arcfox Alpha S5 2026\car_img_4.jpg; images\Arcfox Alpha S5 2026\car_img_5.jpg; images\Arcfox Alpha S5 2026\car_img_6.jpg; images\Arcfox Alpha S5 2026\car_img_7.jpg; images\Arcfox Alpha S5 2026\car_img_8.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arcfox,Alpha S5,2026.0,1499900,Air,images\Arcfox Alpha S5 2026\car_img_1.jpg; images\Arcfox Alpha S5 2026\car_img_2.jpg; images\Arcfox Alpha S5 2026\car_img_3.jpg; images\Arcfox Alpha S5 2026\car_img_4.jpg; images\Arcfox Alpha S5 2026\car_img_5.jpg; images\Arcfox Alpha S5 2026\car_img_6.jpg; images\Arcfox Alpha S5 2026\car_img_7.jpg; images\Arcfox Alpha S5 2026\car_img_8.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arcfox,Alpha T5,2026.0,1599900,Air,images\Arcfox Alpha T5 2026\car_img_1.jpg; images\Arcfox Alpha T5 2026\car_img_2.jpg; images\Arcfox Alpha T5 2026\car_img_3.jpg; images\Arcfox Alpha T5 2026\car_img_4.jpg; images\Arcfox Alpha T5 2026\car_img_5.jpg; images\Arcfox Alpha T5 2026\car_img_6.jpg; images\Arcfox Alpha T5 2026\car_img_7.jpg; images\Arcfox Alpha T5 2026\car_img_8.jpg; images\Arcfox Alpha T5 2026\car_img_9.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arcfox,Alpha T5,2026.0,1749900,Pro,images\Arcfox Alpha T5 2026\car_img_1.jpg; images\Arcfox Alpha T5 2026\car_img_2.jpg; images\Arcfox Alpha T5 2026\car_img_3.jpg; images\Arcfox Alpha T5 2026\car_img_4.jpg; images\Arcfox Alpha T5 2026\car_img_5.jpg; images\Arcfox Alpha T5 2026\car_img_6.jpg; images\Arcfox Alpha T5 2026\car_img_7.jpg; images\Arcfox Alpha T5 2026\car_img_8.jpg; images\Arcfox Alpha T5 2026\car_img_9.jpg; images\Arcfox Alpha T5 2026\car_img_10.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
