Brand                     | Model                | Trim                                | Drivetrain
----------------------------------------------------------------------------------------------------
Alfa Romeo                | Giulia               | Sprint                              | 
Alfa Romeo                | Giulia               | Veloce                              | 
Alfa Romeo                | Stelvio              | Sprint                              | 
Alfa Romeo                | Stelvio              | Veloce                              | 
Alfa Romeo                | Tonale               | Sprint                              | 
Alfa Romeo                | Tonale               | Ti                                  | 
Alfa Romeo                | Tonale               | Veloce                              | 
Arcfox                    | Alpha S5             | Air                                 | 
Arcfox                    | Alpha S5             | Pro                                 | 
Arcfox                    | Alpha T5             | Air                                 | 
Arcfox                    | Alpha T5             | Pro                                 | 
Arcfox                    | Koala S              | Air                                 | 
Arcfox                    | Koala S              | Pro                                 | 
Arcfox                    | T1                   | Plus                                | 
Arcfox                    | T1                   | Pro                                 | 
Audi                      | A3                   | S-Line                              | 
Audi                      | A3                   | Sport Back                          | 
Audi                      | A3                   | Sportback S-Line                    | 
Audi                      | A4                   | S-Line Plus                         | 
Audi                      | A5                   | Advanced                            | 
Audi                      | A5                   | S-Line                              | 
Audi                      | A5                   | S-Line Plus                         | 
Audi                      | A6                   | S-Line                              | 
Audi                      | A8                   | S-Line Long                         | 
Audi                      | Q2                   | S-Line                              | 
Audi                      | Q3                   | Advanced                            | 
Audi                      | Q3                   | Baseline                            | 
Audi                      | Q3                   | S-Line                              | 
Audi                      | Q3                   | SportBack                           | 
Audi                      | Q3                   | Sportback S-Line                    | 
Audi                      | Q3                   | Sportback S-Line Black Package      | 
Audi                      | Q6 E-Tron            | Performance S-Line                  | 
Audi                      | Q7                   | S-Line                              | 
Audi                      | Q7                   | S-Line 3.0 L                        | 
Audi                      | Q7                   | S-Line Plus                         | 
Audi                      | Q8                   | S-Line                              | 
Audi                      | Q8                   | S-Line Plus                         | 
Audi                      | Q8 E-Tron            | Baseline                            | 
Audi                      | Q8 E-Tron            | Sportback                           | 
Audi                      | Q8 E-Tron            | Top Line                            | 
Audi                      | Rs E-Tron GT         | S-Line                              | 
Audi                      | Rs Q8                | RS                                  | 
Audi                      | Rs5 Coupe            | RS                                  | 
Avatr                     | 11                   | Luxury                              | 
Avatr                     | 11                   | Performance                         | 
Avatr                     | 11                   | Premium                             | 
Avatr                     | 12                   | Gt                                  | 
Avatr                     | 12                   | Luxury                              | 
BAIC                      | BJ 30                | Off-Road                            | 
BAIC                      | BJ 30                | Pro                                 | 
BAIC                      | BJ 30                | Ultra                               | 
BAIC                      | Beijing X7           | Highline                            | 
BAIC                      | Beijing X7           | Premium                             | 
BAIC                      | Beijing X7           | Top Line                            | 
BAIC                      | U5 Plus              | Comfort                             | 
BAIC                      | U5 Plus              | High Line                           | 
BAIC                      | U5 Plus              | Highline                            | 
BAIC                      | U5 Plus              | Top Line                            | 
BAIC                      | X55                  | Highline                            | 
BAIC                      | X55                  | Premium                             | 
BAIC                      | X55                  | Top Line                            | 
BMW                       | 118i                 | M Sport                             | 
BMW                       | 218i                 | M Sport                             | 
BMW                       | 320i                 | Advantage                           | 
BMW                       | 320i                 | Luxury                              | 
BMW                       | 320i                 | M Sport                             | 
BMW                       | 320i                 | Sport                               | 
BMW                       | 330i                 | M Sport                             | 
BMW                       | 340i                 | M Sport                             | 
BMW                       | 420i                 | Convertible                         | 
BMW                       | 420i                 | M Sport                             | 
BMW                       | 440i                 | Xdrive                              | 
BMW                       | 520i                 | Luxury 1.6                          | 
BMW                       | 520i                 | M Sport                             | 
