Brand | Model | Trim | Drivetrain
----------------------------------------------------------------------------------------------------
Alfa Romeo | Giulia | Sprint | RWD
Alfa Romeo | Giulia | Veloce | AWD
Alfa Romeo | Stelvio | Sprint | AWD
Alfa Romeo | Stelvio | Veloce | AWD
Alfa Romeo | Tonale | Sprint | FWD
Alfa Romeo | Tonale | Ti | AWD
Alfa Romeo | Tonale | Veloce | AWD
Arcfox | Alpha S5 | Air | FWD
Arcfox | Alpha S5 | Pro | FWD
Arcfox | Alpha T5 | Air | FWD
Arcfox | Alpha T5 | Pro | FWD
Arcfox | Koala S | Air | FWD
Arcfox | Koala S | Pro | FWD
Arcfox | T1 | Plus | FWD
Arcfox | T1 | Pro | FWD
Audi | A3 | S-Line | FWD
Audi | A3 | Sport Back | FWD
Audi | A3 | Sportback S-Line | FWD
Audi | A4 | S-Line Plus | FWD
Audi | A5 | Advanced | FWD
Audi | A5 | S-Line | FWD
Audi | A5 | S-Line Plus | FWD
Audi | A6 | S-Line | FWD
Audi | A8 | S-Line Long | AWD
Audi | Q2 | S-Line | FWD
Audi | Q3 | Advanced | FWD
Audi | Q3 | Baseline | FWD
Audi | Q3 | S-Line | FWD
Audi | Q3 | SportBack | FWD
Audi | Q3 | Sportback S-Line | FWD
Audi | Q3 | Sportback S-Line Black Package | FWD
Audi | Q6 E-Tron | Performance S-Line | AWD
Audi | Q7 | S-Line | AWD
Audi | Q7 | S-Line 3.0 L | AWD
Audi | Q7 | S-Line Plus | AWD
Audi | Q8 | S-Line | AWD
Audi | Q8 | S-Line Plus | AWD
Audi | Q8 E-Tron | Baseline | AWD
Audi | Q8 E-Tron | Sportback | AWD
Audi | Q8 E-Tron | Top Line | AWD
Audi | Rs E-Tron GT | S-Line | AWD
Audi | Rs Q8 | RS | AWD
Audi | Rs5 Coupe | RS | AWD
Avatr | 11 | Luxury | RWD
Avatr | 11 | Performance | AWD
Avatr | 11 | Premium | AWD
Avatr | 12 | Gt | AWD
Avatr | 12 | Luxury | RWD
BAIC | BJ 30 | Off-Road | AWD
BAIC | BJ 30 | Pro | FWD
BAIC | BJ 30 | Ultra | AWD
BAIC | Beijing X7 | Highline | FWD
BAIC | Beijing X7 | Premium | FWD
BAIC | Beijing X7 | Top Line | FWD
BAIC | U5 Plus | Comfort | FWD
BAIC | U5 Plus | High Line | FWD
BAIC | U5 Plus | Highline | FWD
BAIC | U5 Plus | Top Line | FWD
BAIC | X55 | Highline | FWD
BAIC | X55 | Premium | FWD
BAIC | X55 | Top Line | FWD
BMW | 118i | M Sport | FWD
BMW | 218i | M Sport | FWD
BMW | 320i | Advantage | RWD
BMW | 320i | Luxury | RWD
BMW | 320i | M Sport | RWD
BMW | 320i | Sport | RWD
BMW | 330i | M Sport | RWD
BMW | 340i | M Sport | RWD
BMW | 420i | Convertible | RWD
BMW | 420i | M Sport | RWD
BMW | 440i | Xdrive | AWD
BMW | 520i | Luxury 1.6 | RWD
BMW | 520i | M Sport | RWD
BMW | 740i | Pure Excellence Lwb | RWD
BMW | 760i | Xdrive | AWD
BMW | 760i | Xdrive M Sport | AWD
BMW | M135i | Xdrive | AWD
BMW | M235i | Xdrive | AWD
BMW | M3 | Competition | RWD
BMW | M3 | Competition Xdrive | AWD
BMW | M4 | Competition | RWD
BMW | M4 | Competition Xdrive | AWD
BMW | M5 | Competition | AWD
BMW | M8 | Competition | AWD
BMW | M850i | Convertible Lci | AWD
BMW | M850i | Gran Coupe | AWD
BMW | X1 | Sdrive18I M Sport | FWD
BMW | X1 | Sdrive18I Xline | FWD
BMW | X2 | 2.0 A/T M35I Sport | AWD
BMW | X2 | Sdrive18I M Sport | FWD
BMW | X3 | Xdrive30I  Xline | AWD
