Brand,Model,Trim,Year,Price,Mileage,Color,Fuel Type,Body Shape,Transmission,Engine Capacity,Cylinder Count,Image Paths
Speranza,M11,Sedan,2012,"240,000","180,000 KM",Black,Petrol,,Manual,"1,597",,images_yallamotor\Speranza_m11_2012_79129\img_1.jpg; images_yallamotor\Speranza_m11_2012_79129\img_2.jpg; images_yallamotor\Speranza_m11_2012_79129\img_3.jpg; images_yallamotor\Speranza_m11_2012_79129\img_4.jpg; images_yallamotor\Speranza_m11_2012_79129\img_5.jpg; images_yallamotor\Speranza_m11_2012_79129\img_6.jpg; images_yallamotor\Speranza_m11_2012_79129\img_7.jpg
Speranza,Tiggo,4X2 1.6L Manual,2013,"370,000","150,000 KM",Burgundy,Petrol,,Manual,"1,597",,images_yallamotor\Speranza_tiggo_2013_95740\img_1.jpg; images_yallamotor\Speranza_tiggo_2013_95740\img_2.jpg; images_yallamotor\Speranza_tiggo_2013_95740\img_3.jpg
Alfa-romeo,156,Alfa Romeo,1999,"220,000","200,000 KM",Blue,Petrol,,Manual,"1,600",,images_yallamotor\alfa-romeo_156_1999_9444\img_1.jpg; images_yallamotor\alfa-romeo_156_1999_9444\img_2.jpg; images_yallamotor\alfa-romeo_156_1999_9444\img_3.jpg; images_yallamotor\alfa-romeo_156_1999_9444\img_4.jpg; images_yallamotor\alfa-romeo_156_1999_9444\img_5.jpg
Alfa-romeo,4c,Alfa Romeo Spider,2021,"2,100,000","100,000 KM",Silver,Petrol,,Automatic,"1,750",,images_yallamotor\alfa-romeo_4c_2021_29308\img_1.jpg; images_yallamotor\alfa-romeo_4c_2021_29308\img_2.jpg; images_yallamotor\alfa-romeo_4c_2021_29308\img_3.jpg
Audi,A3-sportback,A3 Sportback Ambition 1.4 Tfsi,2016,"1,150,000","136,000 KM",Silver,Petrol,,Automatic,"1,395",,images_yallamotor\audi_a3-sportback_2016_54773\img_1.jpg; images_yallamotor\audi_a3-sportback_2016_54773\img_2.jpg; images_yallamotor\audi_a3-sportback_2016_54773\img_3.jpg; images_yallamotor\audi_a3-sportback_2016_54773\img_4.jpg; images_yallamotor\audi_a3-sportback_2016_54773\img_5.jpg
Audi,A4,2.0L 211 Hp,2014,"1,200,000","200,000 KM",Black,Petrol,,Automatic,"2,000",,images_yallamotor\audi_a4_2014_70324\img_1.jpeg; images_yallamotor\audi_a4_2014_70324\img_2.jpeg; images_yallamotor\audi_a4_2014_70324\img_3.jpeg; images_yallamotor\audi_a4_2014_70324\img_4.jpeg; images_yallamotor\audi_a4_2014_70324\img_5.jpeg
Audi,A4,Base/Standard,2016,"1,250,000","165,000 KM",Black,Petrol,,-,"1,600",,images_yallamotor\audi_a4_2016_87902\img_1.jpg; images_yallamotor\audi_a4_2016_87902\img_2.jpg; images_yallamotor\audi_a4_2016_87902\img_3.jpg; images_yallamotor\audi_a4_2016_87902\img_4.jpg
Audi,A4,1.4L (150 Hp),2016,"1,500,000","129,000 KM",Red,Petrol,,Automatic,"1,400",,images_yallamotor\audi_a4_2016_5794\img_1.jpg; images_yallamotor\audi_a4_2016_5794\img_2.jpg; images_yallamotor\audi_a4_2016_5794\img_3.jpg; images_yallamotor\audi_a4_2016_5794\img_4.jpg; images_yallamotor\audi_a4_2016_5794\img_5.jpg
Audi,A4,1.4L (150 Hp),2017,"1,600,000","112,000 KM",Gray,Petrol,,Automatic,"1,400",,images_yallamotor\audi_a4_2017_26783\img_1.jpeg; images_yallamotor\audi_a4_2017_26783\img_2.jpeg; images_yallamotor\audi_a4_2017_26783\img_3.jpeg; images_yallamotor\audi_a4_2017_26783\img_4.jpeg; images_yallamotor\audi_a4_2017_26783\img_5.jpeg
Alfa-romeo,Giulia,Alfa Romeo Veloce,2021,"1,950,000","100,000 KM",Gray,Petrol,,Automatic,"2,000",,images_yallamotor\alfa-romeo_giulia_2021_57705\img_1.jpeg; images_yallamotor\alfa-romeo_giulia_2021_57705\img_2.jpeg; images_yallamotor\alfa-romeo_giulia_2021_57705\img_3.jpeg; images_yallamotor\alfa-romeo_giulia_2021_57705\img_4.jpeg; images_yallamotor\alfa-romeo_giulia_2021_57705\img_5.jpeg; images_yallamotor\alfa-romeo_giulia_2021_57705\img_6.jpeg
