Brand,Model,Year,Price,Trim,URL,Image Paths,Length (mm),Width (mm),Height (mm),Wheelbase (mm),Number of Seats,Combined Maximum Power (HP @ RPM),Combined Maximum Torque (N.m @ RPM),Maximum Speed (Km/h),Acceleration (0 - 100 km/h),Fuel Tank Capacity (Litre),Combined Fuel/Energy Consumption (Liter/100 KM),Cylinders,Recommend Fuel Grade,Number of Gears
Alfa,Romeo Giulia,2025,"2,749,000 EGP",Sprint,https://www.contactcars.com/en/new-cars/alfa_romeo-giulia/2693b31bbbd240069ad37b7882002c20,images\Alfa Romeo Giulia 2025\car_img_1.jpg; images\Alfa Romeo Giulia 2025\car_img_2.jpg; images\Alfa Romeo Giulia 2025\car_img_3.jpg; images\Alfa Romeo Giulia 2025\car_img_4.jpg; images\Alfa Romeo Giulia 2025\car_img_5.jpg; images\Alfa Romeo Giulia 2025\car_img_6.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alfa,Romeo Giulia,2025,"3,149,000 EGP",Veloce,https://www.contactcars.com/en/new-cars/alfa_romeo-giulia/c331464087cc4a1a89a96a732c754e4b,images\Alfa Romeo Giulia 2025\car_img_1.jpg; images\Alfa Romeo Giulia 2025\car_img_2.jpg; images\Alfa Romeo Giulia 2025\car_img_3.jpg; images\Alfa Romeo Giulia 2025\car_img_4.jpg; images\Alfa Romeo Giulia 2025\car_img_5.jpg; images\Alfa Romeo Giulia 2025\car_img_6.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alfa,Romeo Stelvio,2025,"3,550,000 EGP",Veloce,https://www.contactcars.com/en/new-cars/alfa_romeo-stelvio/624418da6564546540b62eb1,images\Alfa Romeo Stelvio 2025\car_img_1.jpg; images\Alfa Romeo Stelvio 2025\car_img_2.jpg; images\Alfa Romeo Stelvio 2025\car_img_3.jpg; images\Alfa Romeo Stelvio 2025\car_img_4.jpg; images\Alfa Romeo Stelvio 2025\car_img_5.jpg; images\Alfa Romeo Stelvio 2025\car_img_6.jpg; images\Alfa Romeo Stelvio 2025\car_img_7.jpg; images\Alfa Romeo Stelvio 2025\car_img_8.jpg; images\Alfa Romeo Stelvio 2025\car_img_9.jpg; images\Alfa Romeo Stelvio 2025\car_img_10.jpg; images\Alfa Romeo Stelvio 2025\car_img_11.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alfa,Romeo Stelvio,2025,"3,325,000 EGP",Sprint,https://www.contactcars.com/en/new-cars/alfa_romeo-stelvio/89cb4107daf84c208dbfc2a8f3998123,images\Alfa Romeo Stelvio 2025\car_img_1.jpg; images\Alfa Romeo Stelvio 2025\car_img_2.jpg; images\Alfa Romeo Stelvio 2025\car_img_3.jpg; images\Alfa Romeo Stelvio 2025\car_img_4.jpg; images\Alfa Romeo Stelvio 2025\car_img_5.jpg; images\Alfa Romeo Stelvio 2025\car_img_6.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alfa,Romeo Tonale,2025,"2,825,000 EGP",Veloce,https://www.contactcars.com/en/new-cars/alfa_romeo-tonale/b86b97e2d6d5495694eebb4beac2197b,images\Alfa Romeo Tonale 2025\car_img_1.jpg; images\Alfa Romeo Tonale 2025\car_img_2.jpg; images\Alfa Romeo Tonale 2025\car_img_3.jpg; images\Alfa Romeo Tonale 2025\car_img_4.jpg; images\Alfa Romeo Tonale 2025\car_img_5.jpg; images\Alfa Romeo Tonale 2025\car_img_6.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alfa,Romeo Tonale,2025,"2,625,000 EGP",Sprint,https://www.contactcars.com/en/new-cars/alfa_romeo-tonale/f8b5f45949b4461d88fd4296d3c1f8a7,images\Alfa Romeo Tonale 2025\car_img_1.jpg; images\Alfa Romeo Tonale 2025\car_img_2.jpg; images\Alfa Romeo Tonale 2025\car_img_3.jpg; images\Alfa Romeo Tonale 2025\car_img_4.jpg; images\Alfa Romeo Tonale 2025\car_img_5.jpg; images\Alfa Romeo Tonale 2025\car_img_6.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arcfox,Alpha S5,2026,"1,649,900 EGP",Pro,https://www.contactcars.com/en/new-cars/arcfox-alpha_s5/0d7ba4bc74de,images\Arcfox Alpha S5 2026\car_img_1.jpg; images\Arcfox Alpha S5 2026\car_img_2.jpg; images\Arcfox Alpha S5 2026\car_img_3.jpg; images\Arcfox Alpha S5 2026\car_img_4.jpg; images\Arcfox Alpha S5 2026\car_img_5.jpg; images\Arcfox Alpha S5 2026\car_img_6.jpg; images\Arcfox Alpha S5 2026\car_img_7.jpg; images\Arcfox Alpha S5 2026\car_img_8.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arcfox,Alpha S5,2026,"1,499,900 EGP",Air,https://www.contactcars.com/en/new-cars/arcfox-alpha_s5/c8e4c775026d,images\Arcfox Alpha S5 2026\car_img_1.jpg; images\Arcfox Alpha S5 2026\car_img_2.jpg; images\Arcfox Alpha S5 2026\car_img_3.jpg; images\Arcfox Alpha S5 2026\car_img_4.jpg; images\Arcfox Alpha S5 2026\car_img_5.jpg; images\Arcfox Alpha S5 2026\car_img_6.jpg; images\Arcfox Alpha S5 2026\car_img_7.jpg; images\Arcfox Alpha S5 2026\car_img_8.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arcfox,Alpha T5,2026,"1,599,900 EGP",Air,https://www.contactcars.com/en/new-cars/arcfox-alpha_t5/4fee69340c73,images\Arcfox Alpha T5 2026\car_img_1.jpg; images\Arcfox Alpha T5 2026\car_img_2.jpg; images\Arcfox Alpha T5 2026\car_img_3.jpg; images\Arcfox Alpha T5 2026\car_img_4.jpg; images\Arcfox Alpha T5 2026\car_img_5.jpg; images\Arcfox Alpha T5 2026\car_img_6.jpg; images\Arcfox Alpha T5 2026\car_img_7.jpg; images\Arcfox Alpha T5 2026\car_img_8.jpg; images\Arcfox Alpha T5 2026\car_img_9.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arcfox,Alpha T5,2026,"1,749,900 EGP",Pro,https://www.contactcars.com/en/new-cars/arcfox-alpha_t5/f4e16b9de7ec,images\Arcfox Alpha T5 2026\car_img_1.jpg; images\Arcfox Alpha T5 2026\car_img_2.jpg; images\Arcfox Alpha T5 2026\car_img_3.jpg; images\Arcfox Alpha T5 2026\car_img_4.jpg; images\Arcfox Alpha T5 2026\car_img_5.jpg; images\Arcfox Alpha T5 2026\car_img_6.jpg; images\Arcfox Alpha T5 2026\car_img_7.jpg; images\Arcfox Alpha T5 2026\car_img_8.jpg; images\Arcfox Alpha T5 2026\car_img_9.jpg; images\Arcfox Alpha T5 2026\car_img_10.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
