Brand,Model,Trim,Year,Price,Mileage,Color,Fuel Type,Body Shape,Transmission,Engine Capacity,Cylinder Count,Image Paths
Fiat,Punto,Unspecified trim,2010.0,400000,"65,000
KM",Navy Blue,Gas,Hatchback,Manual,1600,4,images\Fiat Punto 2010\car_img_1.jpg; images\Fiat Punto 2010\car_img_2.jpg; images\Fiat Punto 2010\car_img_3.jpg; images\Fiat Punto 2010\car_img_4.jpg; images\Fiat Punto 2010\car_img_5.jpg; images\Fiat Punto 2010\car_img_6.jpg; images\Fiat Punto 2010\car_img_7.jpg; images\Fiat Punto 2010\car_img_8.jpg
Fiat,Punto,1.4 A/T Easy,2019.0,580000,"50,000
KM",Navy Blue,Gas,Hatchback,Automatic,1400,4,images\Fiat Punto 2019\car_img_1.jpg; images\Fiat Punto 2019\car_img_2.jpg; images\Fiat Punto 2019\car_img_3.jpg; images\Fiat Punto 2019\car_img_4.jpg
Fiat,Punto,Unspecified trim,2011.0,120000,"159,000
KM",Silver,Gas,Hatchback,Manual,1400,4,images\Fiat Punto 2011\car_img_1.jpg; images\Fiat Punto 2011\car_img_2.jpg; images\Fiat Punto 2011\car_img_3.jpg; images\Fiat Punto 2011\car_img_4.jpg; images\Fiat Punto 2011\car_img_5.jpg; images\Fiat Punto 2011\car_img_6.jpg; images\Fiat Punto 2011\car_img_7.jpg; images\Fiat Punto 2011\car_img_8.jpg; images\Fiat Punto 2011\car_img_9.jpg
Fiat,Punto,Unspecified trim,2017.0,460000,"140,000
KM",Navy Blue,Gas,Hatchback,Automatic,1600,4,images\Fiat Punto 2017\car_img_1.jpg; images\Fiat Punto 2017\car_img_2.jpg; images\Fiat Punto 2017\car_img_3.jpg; images\Fiat Punto 2017\car_img_4.jpg; images\Fiat Punto 2017\car_img_5.jpg; images\Fiat Punto 2017\car_img_6.jpg; images\Fiat Punto 2017\car_img_7.jpg; images\Fiat Punto 2017\car_img_8.jpg; images\Fiat Punto 2017\car_img_9.jpg; images\Fiat Punto 2017\car_img_10.jpg; images\Fiat Punto 2017\car_img_11.jpg
Fiat,Punto,1.4 A/T Lounge 1,2016.0,449000,"78,000
KM",Black,Gas,Hatchback,Automatic,1400,4,images\Fiat Punto 2016\car_img_1.jpg; images\Fiat Punto 2016\car_img_2.jpg; images\Fiat Punto 2016\car_img_3.jpg; images\Fiat Punto 2016\car_img_4.jpg; images\Fiat Punto 2016\car_img_5.jpg; images\Fiat Punto 2016\car_img_6.jpg; images\Fiat Punto 2016\car_img_7.jpg; images\Fiat Punto 2016\car_img_8.jpg; images\Fiat Punto 2016\car_img_9.jpg; images\Fiat Punto 2016\car_img_10.jpg
Fiat,Punto,Unspecified trim,1995.0,150000,"179,000
KM",Gray,Gas,Hatchback,Manual,1300,4,images\Fiat Punto 1995\car_img_1.jpg; images\Fiat Punto 1995\car_img_2.jpg; images\Fiat Punto 1995\car_img_3.jpg; images\Fiat Punto 1995\car_img_4.jpg; images\Fiat Punto 1995\car_img_5.jpg; images\Fiat Punto 1995\car_img_6.jpg; images\Fiat Punto 1995\car_img_7.jpg
Fiat,Punto,Unspecified trim,2009.0,250000,"2,245
KM",Black,Gas,Hatchback,Manual,1200,4,images\Fiat Punto 2009\car_img_1.jpg; images\Fiat Punto 2009\car_img_2.jpg; images\Fiat Punto 2009\car_img_3.jpg
Fiat,Punto,Unspecified trim,2002.0,220000,"270,000
KM",Silver,Gas,Hatchback,Manual,1300,4,images\Fiat Punto 2002\car_img_1.jpg; images\Fiat Punto 2002\car_img_2.jpg; images\Fiat Punto 2002\car_img_3.jpg; images\Fiat Punto 2002\car_img_4.jpg; images\Fiat Punto 2002\car_img_5.jpg; images\Fiat Punto 2002\car_img_6.jpg; images\Fiat Punto 2002\car_img_7.jpg; images\Fiat Punto 2002\car_img_8.jpg; images\Fiat Punto 2002\car_img_9.jpg; images\Fiat Punto 2002\car_img_10.jpg; images\Fiat Punto 2002\car_img_11.jpg; images\Fiat Punto 2002\car_img_12.jpg
Fiat,Punto,1.4 A/T Easy,2019.0,650000,"30,000
KM",Silver,Gas,Hatchback,Automatic,1400,4,images\Fiat Punto 2019\car_img_1.jpg; images\Fiat Punto 2019\car_img_2.jpg; images\Fiat Punto 2019\car_img_3.jpg; images\Fiat Punto 2019\car_img_4.jpg; images\Fiat Punto 2019\car_img_5.jpg; images\Fiat Punto 2019\car_img_6.jpg
Fiat,Punto,Unspecified trim,2011.0,260000,"223,000
KM",Champagne,Gas,Hatchback,Manual,1300,4,images\Fiat Punto 2011\car_img_1.jpg; images\Fiat Punto 2011\car_img_2.jpg; images\Fiat Punto 2011\car_img_3.jpg; images\Fiat Punto 2011\car_img_4.jpg; images\Fiat Punto 2011\car_img_5.jpg; images\Fiat Punto 2011\car_img_6.jpg
