Brand,Model,Price,Year,Trim,Transmission,Fuel Type,Body Type,Engine Capacity,Speeds,Horsepower,Fuel,Consumption,Width,Length,Height,Wheel Base,Seats,Number of Cylinders,Fuel Tank Capacity,Torque,Acceleration,Image Paths
Genesis,G80,4750000,2026,Dynamic,automatic,Electric,Sedan,N/A,N/A,370.0,N/A,N/A,"1,925","5,135","1,480",3140.0,4.0,N/A,N/A,700.0,5.1,images\Genesis_G80_Dynamic_43621\img_1.png; images\Genesis_G80_Dynamic_43621\img_2.png; images\Genesis_G80_Dynamic_43621\img_3.png; images\Genesis_G80_Dynamic_43621\img_4.png; images\Genesis_G80_Dynamic_43621\img_5.png; images\Genesis_G80_Dynamic_43621\img_6.png
Genesis,G80,4950000,2026,Advanced,automatic,Electric,Sedan,N/A,N/A,370.0,N/A,N/A,"1,925","5,135","1,480",3140.0,4.0,N/A,N/A,700.0,5.1,images\Genesis_G80_Advanced_49574\img_1.png; images\Genesis_G80_Advanced_49574\img_2.png; images\Genesis_G80_Advanced_49574\img_3.png; images\Genesis_G80_Advanced_49574\img_4.png; images\Genesis_G80_Advanced_49574\img_5.png; images\Genesis_G80_Advanced_49574\img_6.png
Genesis,G80,5450000,2026,Performance,automatic,Electric,Sedan,N/A,N/A,370.0,N/A,N/A,"1,925","5,135","1,480",3140.0,4.0,N/A,N/A,700.0,5.1,images\Genesis_G80_Performance_53764\img_1.png; images\Genesis_G80_Performance_53764\img_2.png; images\Genesis_G80_Performance_53764\img_3.png; images\Genesis_G80_Performance_53764\img_4.png; images\Genesis_G80_Performance_53764\img_5.png; images\Genesis_G80_Performance_53764\img_6.png
Genesis,Gv 60,3500000,2026,Dynamic,automatic,Electric,SUV,N/A,N/A,225.0,N/A,N/A,"1,890","4,545","1,580",2900.0,5.0,N/A,N/A,350.0,7.8,images\Genesis_Gv+60_Dynamic_57453\img_1.png; images\Genesis_Gv+60_Dynamic_57453\img_2.jpg; images\Genesis_Gv+60_Dynamic_57453\img_3.jpg; images\Genesis_Gv+60_Dynamic_57453\img_4.jpg; images\Genesis_Gv+60_Dynamic_57453\img_5.jpg; images\Genesis_Gv+60_Dynamic_57453\img_6.jpg; images\Genesis_Gv+60_Dynamic_57453\img_7.jpg; images\Genesis_Gv+60_Dynamic_57453\img_8.jpg; images\Genesis_Gv+60_Dynamic_57453\img_9.jpg
Genesis,Gv 60,4100000,2026,Advanced,automatic,Electric,SUV,N/A,N/A,314.0,N/A,N/A,"1,890","4,545","1,580",2900.0,5.0,N/A,N/A,605.0,5.5,images\Genesis_Gv+60_Advanced_61746\img_1.jpg; images\Genesis_Gv+60_Advanced_61746\img_2.jpg; images\Genesis_Gv+60_Advanced_61746\img_3.jpg; images\Genesis_Gv+60_Advanced_61746\img_4.jpg; images\Genesis_Gv+60_Advanced_61746\img_5.png; images\Genesis_Gv+60_Advanced_61746\img_6.jpg; images\Genesis_Gv+60_Advanced_61746\img_7.jpg; images\Genesis_Gv+60_Advanced_61746\img_8.jpg; images\Genesis_Gv+60_Advanced_61746\img_9.jpg
Im,Im 5,2450000,2026,Ultra Performance,automatic,Electric,Sedan,N/A,N/A,767.0,N/A,N/A,0,N/A,N/A,N/A,5.0,N/A,N/A,802.0,2.7,images\Im_Im+_5_Ultra_Performance_43213\img_1.png; images\Im_Im+_5_Ultra_Performance_43213\img_2.png; images\Im_Im+_5_Ultra_Performance_43213\img_3.png; images\Im_Im+_5_Ultra_Performance_43213\img_4.png; images\Im_Im+_5_Ultra_Performance_43213\img_5.png; images\Im_Im+_5_Ultra_Performance_43213\img_6.png; images\Im_Im+_5_Ultra_Performance_43213\img_7.png; images\Im_Im+_5_Ultra_Performance_43213\img_8.png
Im,Im 6,2100000,2026,Ultra Efficiency,automatic,Electric,SUV,N/A,N/A,291.0,N/A,N/A,0,N/A,N/A,N/A,5.0,N/A,N/A,450.0,6.4,images\Im_Im_+6_Ultra_Efficiency_49486\img_1.png; images\Im_Im_+6_Ultra_Efficiency_49486\img_2.png; images\Im_Im_+6_Ultra_Efficiency_49486\img_3.png; images\Im_Im_+6_Ultra_Efficiency_49486\img_4.png; images\Im_Im_+6_Ultra_Efficiency_49486\img_5.png; images\Im_Im_+6_Ultra_Efficiency_49486\img_6.png; images\Im_Im_+6_Ultra_Efficiency_49486\img_7.png
Im,Im 6,2450000,2026,Ultra Range,automatic,Electric,SUV,N/A,N/A,402.0,N/A,N/A,0,N/A,N/A,N/A,5.0,N/A,N/A,500.0,5.4,images\Im_Im_+6_Ultra_Range_54167\img_1.png; images\Im_Im_+6_Ultra_Range_54167\img_2.png; images\Im_Im_+6_Ultra_Range_54167\img_3.png; images\Im_Im_+6_Ultra_Range_54167\img_4.png; images\Im_Im_+6_Ultra_Range_54167\img_5.png; images\Im_Im_+6_Ultra_Range_54167\img_6.png; images\Im_Im_+6_Ultra_Range_54167\img_7.png
Im,Im Ls7,2800000,2026,Ultra Performance,automatic,Electric,SUV,N/A,N/A,610.0,N/A,N/A,0,N/A,N/A,N/A,5.0,N/A,N/A,725.0,4.5,images\Im_Im_+Ls7_Ultra_Performance_59125\img_1.png; images\Im_Im_+Ls7_Ultra_Performance_59125\img_2.png; images\Im_Im_+Ls7_Ultra_Performance_59125\img_3.png; images\Im_Im_+Ls7_Ultra_Performance_59125\img_4.png; images\Im_Im_+Ls7_Ultra_Performance_59125\img_5.png; images\Im_Im_+Ls7_Ultra_Performance_59125\img_6.png
Kaiyi,Kaiyi X3 Pro,799995,2026,Top Line,CVT,gas,SUV,1500.0,N/A,114.0,92.0,N/A,"1,831","4,400","1,653",2632.0,5.0,4.0,51.0,143.0,N/A,images\Kaiyi_Kaiyi_X3_Pro_Top_Line_62786\img_1.jpg; images\Kaiyi_Kaiyi_X3_Pro_Top_Line_62786\img_2.jpg; images\Kaiyi_Kaiyi_X3_Pro_Top_Line_62786\img_3.jpg; images\Kaiyi_Kaiyi_X3_Pro_Top_Line_62786\img_4.jpg; images\Kaiyi_Kaiyi_X3_Pro_Top_Line_62786\img_5.jpg; images\Kaiyi_Kaiyi_X3_Pro_Top_Line_62786\img_6.png; images\Kaiyi_Kaiyi_X3_Pro_Top_Line_62786\img_7.jpg; images\Kaiyi_Kaiyi_X3_Pro_Top_Line_62786\img_8.jpg
