Car Title,Brand,Model,Price,Year,Trim,Transmission,Fuel Type,Body Type,Power,Speeds,Horsepower,Fuel,Consumption,Width,Length,Height,Wheel Base,Seats,Number of Cylinders,Fuel Tank Capacity,Torque,Acceleration,Image Paths,URL
Genesis G80 2026 A/T / Dynamic New Cash or Installment,Genesis,G80,"4,750,000 EGP",2026,Dynamic,automatic,Electric,Sedan,N/A,N/A,370,N/A,N/A,"1,925","5,135","1,480",3140,4,N/A,N/A,700,5.1,images\Genesis_G80_Dynamic_43621\img_1.png; images\Genesis_G80_Dynamic_43621\img_2.png; images\Genesis_G80_Dynamic_43621\img_3.png; images\Genesis_G80_Dynamic_43621\img_4.png; images\Genesis_G80_Dynamic_43621\img_5.png; images\Genesis_G80_Dynamic_43621\img_6.png,https://eg.hatla2ee.com/en/new-car/Genesis/G80/50717
Genesis G80 2026 A/T / Advanced New Cash or Installment,Genesis,G80,"4,950,000 EGP",2026,Advanced,automatic,Electric,Sedan,N/A,N/A,370,N/A,N/A,"1,925","5,135","1,480",3140,4,N/A,N/A,700,5.1,images\Genesis_G80_Advanced_49574\img_1.png; images\Genesis_G80_Advanced_49574\img_2.png; images\Genesis_G80_Advanced_49574\img_3.png; images\Genesis_G80_Advanced_49574\img_4.png; images\Genesis_G80_Advanced_49574\img_5.png; images\Genesis_G80_Advanced_49574\img_6.png,https://eg.hatla2ee.com/en/new-car/Genesis/G80/50718
Genesis G80 2026 A/T / Performance New Cash or Installment,Genesis,G80,"5,450,000 EGP",2026,Performance,automatic,Electric,Sedan,N/A,N/A,370,N/A,N/A,"1,925","5,135","1,480",3140,4,N/A,N/A,700,5.1,images\Genesis_G80_Performance_53764\img_1.png; images\Genesis_G80_Performance_53764\img_2.png; images\Genesis_G80_Performance_53764\img_3.png; images\Genesis_G80_Performance_53764\img_4.png; images\Genesis_G80_Performance_53764\img_5.png; images\Genesis_G80_Performance_53764\img_6.png,https://eg.hatla2ee.com/en/new-car/Genesis/G80/50719
Genesis GV 60 2026 A/T / Dynamic New Cash or Installment,Genesis,Gv+60,"3,500,000 EGP",2026,Dynamic,automatic,Electric,SUV,N/A,N/A,225,N/A,N/A,"1,890","4,545","1,580",2900,5,N/A,N/A,350,7.8,images\Genesis_Gv+60_Dynamic_57453\img_1.png; images\Genesis_Gv+60_Dynamic_57453\img_2.jpg; images\Genesis_Gv+60_Dynamic_57453\img_3.jpg; images\Genesis_Gv+60_Dynamic_57453\img_4.jpg; images\Genesis_Gv+60_Dynamic_57453\img_5.jpg; images\Genesis_Gv+60_Dynamic_57453\img_6.jpg; images\Genesis_Gv+60_Dynamic_57453\img_7.jpg; images\Genesis_Gv+60_Dynamic_57453\img_8.jpg; images\Genesis_Gv+60_Dynamic_57453\img_9.jpg,https://eg.hatla2ee.com/en/new-car/Genesis/GV+60/50796
Genesis GV 60 2026 A/T / Advanced New Cash or Installment,Genesis,Gv+60,"4,100,000 EGP",2026,Advanced,automatic,Electric,SUV,N/A,N/A,314,N/A,N/A,"1,890","4,545","1,580",2900,5,N/A,N/A,605,5.5,images\Genesis_Gv+60_Advanced_61746\img_1.jpg; images\Genesis_Gv+60_Advanced_61746\img_2.jpg; images\Genesis_Gv+60_Advanced_61746\img_3.jpg; images\Genesis_Gv+60_Advanced_61746\img_4.jpg; images\Genesis_Gv+60_Advanced_61746\img_5.png; images\Genesis_Gv+60_Advanced_61746\img_6.jpg; images\Genesis_Gv+60_Advanced_61746\img_7.jpg; images\Genesis_Gv+60_Advanced_61746\img_8.jpg; images\Genesis_Gv+60_Advanced_61746\img_9.jpg,https://eg.hatla2ee.com/en/new-car/Genesis/GV+60/50797
IM IM 5 2026 A/T / Ultra Performance New Cash or Installment,Im,Im+_5,"2,450,000 EGP",2026,Ultra Performance,automatic,Electric,Sedan,N/A,N/A,767,N/A,N/A,0,N/A,N/A,N/A,5,N/A,N/A,802,2.7,images\Im_Im+_5_Ultra_Performance_43213\img_1.png; images\Im_Im+_5_Ultra_Performance_43213\img_2.png; images\Im_Im+_5_Ultra_Performance_43213\img_3.png; images\Im_Im+_5_Ultra_Performance_43213\img_4.png; images\Im_Im+_5_Ultra_Performance_43213\img_5.png; images\Im_Im+_5_Ultra_Performance_43213\img_6.png; images\Im_Im+_5_Ultra_Performance_43213\img_7.png; images\Im_Im+_5_Ultra_Performance_43213\img_8.png,https://eg.hatla2ee.com/en/new-car/IM/IM+_5/50908
IM IM 6 2026 A/T / Ultra Efficiency New Cash or Installment,Im,Im_+6,"2,100,000 EGP",2026,Ultra Efficiency,automatic,Electric,SUV,N/A,N/A,291,N/A,N/A,0,N/A,N/A,N/A,5,N/A,N/A,450,6.4,images\Im_Im_+6_Ultra_Efficiency_49486\img_1.png; images\Im_Im_+6_Ultra_Efficiency_49486\img_2.png; images\Im_Im_+6_Ultra_Efficiency_49486\img_3.png; images\Im_Im_+6_Ultra_Efficiency_49486\img_4.png; images\Im_Im_+6_Ultra_Efficiency_49486\img_5.png; images\Im_Im_+6_Ultra_Efficiency_49486\img_6.png; images\Im_Im_+6_Ultra_Efficiency_49486\img_7.png,https://eg.hatla2ee.com/en/new-car/IM/IM_+6/50909
IM IM 6 2026 A/T / Ultra Range New Cash or Installment,Im,Im_+6,"2,450,000 EGP",2026,Ultra Range,automatic,Electric,SUV,N/A,N/A,402,N/A,N/A,0,N/A,N/A,N/A,5,N/A,N/A,500,5.4,images\Im_Im_+6_Ultra_Range_54167\img_1.png; images\Im_Im_+6_Ultra_Range_54167\img_2.png; images\Im_Im_+6_Ultra_Range_54167\img_3.png; images\Im_Im_+6_Ultra_Range_54167\img_4.png; images\Im_Im_+6_Ultra_Range_54167\img_5.png; images\Im_Im_+6_Ultra_Range_54167\img_6.png; images\Im_Im_+6_Ultra_Range_54167\img_7.png,https://eg.hatla2ee.com/en/new-car/IM/IM_+6/50910
IM LS7 2026 A/T / Ultra Performance New Cash or Installment,Im,Im_+Ls7,"2,800,000 EGP",2026,Ultra Performance,automatic,Electric,SUV,N/A,N/A,610,N/A,N/A,0,N/A,N/A,N/A,5,N/A,N/A,725,4.5,images\Im_Im_+Ls7_Ultra_Performance_59125\img_1.png; images\Im_Im_+Ls7_Ultra_Performance_59125\img_2.png; images\Im_Im_+Ls7_Ultra_Performance_59125\img_3.png; images\Im_Im_+Ls7_Ultra_Performance_59125\img_4.png; images\Im_Im_+Ls7_Ultra_Performance_59125\img_5.png; images\Im_Im_+Ls7_Ultra_Performance_59125\img_6.png,https://eg.hatla2ee.com/en/new-car/IM/IM_+LS7/50911
Kaiyi X3 Pro 2026 A/T / Top Line New Cash or Installment,Kaiyi,Kaiyi X3 Pro,"799,995 EGP",2026,Top Line,CVT,gas,SUV,1500,N/A,114,92,N/A,"1,831","4,400","1,653",2632,5,4,51,143,N/A,images\Kaiyi_Kaiyi_X3_Pro_Top_Line_62786\img_1.jpg; images\Kaiyi_Kaiyi_X3_Pro_Top_Line_62786\img_2.jpg; images\Kaiyi_Kaiyi_X3_Pro_Top_Line_62786\img_3.jpg; images\Kaiyi_Kaiyi_X3_Pro_Top_Line_62786\img_4.jpg; images\Kaiyi_Kaiyi_X3_Pro_Top_Line_62786\img_5.jpg; images\Kaiyi_Kaiyi_X3_Pro_Top_Line_62786\img_6.png; images\Kaiyi_Kaiyi_X3_Pro_Top_Line_62786\img_7.jpg; images\Kaiyi_Kaiyi_X3_Pro_Top_Line_62786\img_8.jpg,https://eg.hatla2ee.com/en/new-car/Kaiyi/KAIYI-X3-PRO/50646
