Car Title,Brand,Model,Price,Year,Trim,Mileage,Condition,Transmission,Fuel Type,CC,Color,Location,Body Type,Image Paths,URL
Used Speranza A620 Sedan 2010,Speranza,A620,EGP 245,2010,Sedan,257 KM,Used,Automatic,Petrol,"1,971",Black,Cairo,Sedan,images_yallamotor\Speranza_a620_2010_57541\img_1.jpg; images_yallamotor\Speranza_a620_2010_57541\img_2.jpg; images_yallamotor\Speranza_a620_2010_57541\img_3.jpg; images_yallamotor\Speranza_a620_2010_57541\img_4.jpg; images_yallamotor\Speranza_a620_2010_57541\img_5.jpg; images_yallamotor\Speranza_a620_2010_57541\img_6.jpg; images_yallamotor\Speranza_a620_2010_57541\img_7.jpg; images_yallamotor\Speranza_a620_2010_57541\img_8.jpg; images_yallamotor\Speranza_a620_2010_57541\img_9.jpg; images_yallamotor\Speranza_a620_2010_57541\img_10.jpg,https://egypt.yallamotor.com/used-cars/Speranza/a620/2010/used-Speranza-a620-2010-cairo-2081089
Used Speranza M11 Sedan 2012,Speranza,M11,"EGP 240,000",2012,Sedan,"180,000 KM",Used,Manual,Petrol,"1,597",Black,Cairo,Sedan,images_yallamotor\Speranza_m11_2012_79129\img_1.jpg; images_yallamotor\Speranza_m11_2012_79129\img_2.jpg; images_yallamotor\Speranza_m11_2012_79129\img_3.jpg; images_yallamotor\Speranza_m11_2012_79129\img_4.jpg; images_yallamotor\Speranza_m11_2012_79129\img_5.jpg; images_yallamotor\Speranza_m11_2012_79129\img_6.jpg; images_yallamotor\Speranza_m11_2012_79129\img_7.jpg,https://egypt.yallamotor.com/used-cars/Speranza/m11/2012/used-Speranza-m11-2012-cairo-2085577
Used Speranza Tiggo 4x2 1.6L Manual 2013,Speranza,Tiggo,"EGP 370,000",2013,4X2 1.6L Manual,"150,000 KM",Used,Manual,Petrol,"1,597",Burgundy,Cairo,Other,images_yallamotor\Speranza_tiggo_2013_95740\img_1.jpg; images_yallamotor\Speranza_tiggo_2013_95740\img_2.jpg; images_yallamotor\Speranza_tiggo_2013_95740\img_3.jpg,https://egypt.yallamotor.com/used-cars/Speranza/tiggo/2013/used-Speranza-tiggo-2013-cairo-2077553
Used Alfa Romeo 156 1999,Alfa-romeo,156,"EGP 220,000",1999,Alfa Romeo,"200,000 KM",Used,Manual,Petrol,"1,600",Blue,Cairo,Sedan,images_yallamotor\alfa-romeo_156_1999_9444\img_1.jpg; images_yallamotor\alfa-romeo_156_1999_9444\img_2.jpg; images_yallamotor\alfa-romeo_156_1999_9444\img_3.jpg; images_yallamotor\alfa-romeo_156_1999_9444\img_4.jpg; images_yallamotor\alfa-romeo_156_1999_9444\img_5.jpg,https://egypt.yallamotor.com/used-cars/alfa-romeo/156/1999/used-alfa-romeo-156-1999-cairo-1744891
Used Alfa Romeo 4C Spider 2021,Alfa-romeo,4c,"EGP 2,100,000",2021,Alfa Romeo Spider,"100,000 KM",Used,Automatic,Petrol,"1,750",Silver,Tanta,Coupe,images_yallamotor\alfa-romeo_4c_2021_29308\img_1.jpg; images_yallamotor\alfa-romeo_4c_2021_29308\img_2.jpg; images_yallamotor\alfa-romeo_4c_2021_29308\img_3.jpg,https://egypt.yallamotor.com/used-cars/alfa-romeo/4c/2021/used-alfa-romeo-4c-2021-tanta-1636086
Used Audi A3 Sportback Ambition 1.4 TFSI 2016,Audi,A3-sportback,"EGP 1,150,000",2016,A3 Sportback Ambition 1.4 Tfsi,"136,000 KM",Used,Automatic,Petrol,"1,395",Silver,Cairo,Hatchback,images_yallamotor\audi_a3-sportback_2016_54773\img_1.jpg; images_yallamotor\audi_a3-sportback_2016_54773\img_2.jpg; images_yallamotor\audi_a3-sportback_2016_54773\img_3.jpg; images_yallamotor\audi_a3-sportback_2016_54773\img_4.jpg; images_yallamotor\audi_a3-sportback_2016_54773\img_5.jpg,https://egypt.yallamotor.com/used-cars/audi/a3-sportback/2016/used-audi-a3-sportback-2016-cairo-1755574
Used Audi A4 2.0L 211 HP 2014,Audi,A4,"EGP 1,200,000",2014,2.0L 211 Hp,"200,000 KM",Used,Automatic,Petrol,"2,000",Black,Cairo,Sedan,images_yallamotor\audi_a4_2014_70324\img_1.jpeg; images_yallamotor\audi_a4_2014_70324\img_2.jpeg; images_yallamotor\audi_a4_2014_70324\img_3.jpeg; images_yallamotor\audi_a4_2014_70324\img_4.jpeg; images_yallamotor\audi_a4_2014_70324\img_5.jpeg,https://egypt.yallamotor.com/used-cars/audi/a4/2014/used-audi-a4-2014-cairo-1617554
Used Audi A4 2016,Audi,A4,"EGP 1,250,000",2016,Base/Standard,"165,000 KM",Used,-,Petrol,"1,600",Black,Cairo,SUV,images_yallamotor\audi_a4_2016_87902\img_1.jpg; images_yallamotor\audi_a4_2016_87902\img_2.jpg; images_yallamotor\audi_a4_2016_87902\img_3.jpg; images_yallamotor\audi_a4_2016_87902\img_4.jpg,https://egypt.yallamotor.com/used-cars/audi/a4/2016/used-audi-a4-2016-cairo-1753086
Used Audi A4 1.4L (150 HP) 2016,Audi,A4,"EGP 1,500,000",2016,1.4L (150 Hp),"129,000 KM",Used,Automatic,Petrol,"1,400",Red,Giza,Sedan,images_yallamotor\audi_a4_2016_5794\img_1.jpg; images_yallamotor\audi_a4_2016_5794\img_2.jpg; images_yallamotor\audi_a4_2016_5794\img_3.jpg; images_yallamotor\audi_a4_2016_5794\img_4.jpg; images_yallamotor\audi_a4_2016_5794\img_5.jpg,https://egypt.yallamotor.com/used-cars/audi/a4/2016/used-audi-a4-2016-giza-1615049
Used Audi A4 1.4L (150 HP) 2017,Audi,A4,"EGP 1,600,000",2017,1.4L (150 Hp),"112,000 KM",Used,Automatic,Petrol,"1,400",Gray,Cairo,Sedan,images_yallamotor\audi_a4_2017_26783\img_1.jpeg; images_yallamotor\audi_a4_2017_26783\img_2.jpeg; images_yallamotor\audi_a4_2017_26783\img_3.jpeg; images_yallamotor\audi_a4_2017_26783\img_4.jpeg; images_yallamotor\audi_a4_2017_26783\img_5.jpeg,https://egypt.yallamotor.com/used-cars/audi/a4/2017/used-audi-a4-2017-cairo-1599047
