Brand,Model,Trim,Generation,Price,Acceleration 0-100 kph (sec),Compression Ratio,Cylinders,Drivetrain,Emission Level,Engine Capacity (cc),Engine Type,Fuel Capacity (litres),Fuel Type,Gross Vehicle Weight (kg),Kerb Weight (kg),Luggage Volume (litres),Luggage Volume Seats Down (litres),Max Power,Max Roof Load (kg),Max Speed (Kph),Max Torque (Nm/rpm),Overall height (mm),Overall length (mm),Overall width (mm),Powertrain,Transmission Type,Wheelbase (mm)
Nissan,Sunny,SUNNY Base MT,N17,,N/A,N/A,4,Front-Wheel Drive (FWD),N/A,1498,1.5 Litre 4 cylinder in-line 16-Valve Petrol,41,Petrol,N/A,1029,490,N/A,"108/6,000",N/A,N/A,"134/4,000",1500,4425,1695,N/A,Manual Transmission,2600
Nissan,Sunny,SUNNY Base AT,N17,690000,N/A,N/A,4,Front-Wheel Drive (FWD),N/A,1498,1.5 Litre 4 cylinder in-line 16-Valve Petrol,41,Petrol,N/A,1029,490,N/A,"108/6,000",N/A,N/A,"134/4,000",1500,4425,1695,N/A,4 speed automatic transmission,2600
Nissan,Sunny,SUNNY Mid,N17,745000,N/A,N/A,4,Front-Wheel Drive (FWD),N/A,1498,1.5 Litre 4 cylinder in-line 16-Valve Petrol,41,Petrol,N/A,1029,490,N/A,"108/6,000",N/A,N/A,"134/4,000",1500,4425,1695,N/A,4 speed automatic transmission,2600
Nissan,Sunny,SUNNY Super Saloon,N17,795000,N/A,N/A,4,Front-Wheel Drive (FWD),N/A,1498,1.5 Litre 4 cylinder in-line 16-Valve Petrol,41,Petrol,N/A,1029,490,N/A,"108/6,000",N/A,N/A,"134/4,000",1500,4425,1695,N/A,4 speed automatic transmission,2600
Nissan,Patrol,3.8L V6 XE,Y63,8990000,N/A,N/A,N/A,4WD,N/A,N/A,"DOHC, V6, CVTCS DIG Engine",97,Petrol,N/A,N/A,N/A,N/A,"316 @ 6,400",N/A,N/A,"386 @ 4,400","1,945",5350,2350,N/A,9-speed A/T,3075
Nissan,Patrol,3.8L V6 SE T2,Y63,9600000,N/A,N/A,N/A,4WD,N/A,N/A,"DOHC, V6, CVTCS DIG Engine",97,Petrol,N/A,N/A,N/A,N/A,"316 @ 6,400",N/A,N/A,"386 @ 4,400","1,945",5350,2350,N/A,9-speed A/T,3075
Nissan,Patrol,3.8L V6 SE TITANIUM,Y63,10750000,N/A,N/A,N/A,4WD,N/A,N/A,"DOHC, V6, CVTCS DIG Engine",97,Petrol,N/A,N/A,N/A,N/A,"316 @ 6,400",N/A,N/A,"386 @ 4,400","1,945",5350,2350,N/A,9-speed A/T,3075
Nissan,Patrol,3.8L V6 SE PLATINUM CITY,Y63,11750000,N/A,N/A,N/A,4WD,N/A,N/A,"DOHC, V6, CVTCS DIG Engine",97,Petrol,N/A,N/A,N/A,N/A,"316 @ 6,400",N/A,N/A,"386 @ 4,400","1,955",5350,2350,N/A,9-speed A/T,3075
Nissan,Patrol,3.5L V6TT LE T1,Y63,11050000,N/A,N/A,N/A,4WD,N/A,N/A,"DOHC, V6, CVTCS, DIG Twin Turbo Engine",97,Petrol,N/A,N/A,N/A,N/A,"425 @ 5,600",N/A,N/A,"700 @ 3,600","1,945",5350,2350,N/A,9-speed A/T,3075
Nissan,Patrol,3.5L V6TT LE T2,Y63,11900000,N/A,N/A,N/A,4WD,N/A,N/A,"DOHC, V6, CVTCS, DIG Twin Turbo Engine",97,Petrol,N/A,N/A,N/A,N/A,"425 @ 5,600",N/A,N/A,"700 @ 3,600","1,945",5350,2350,N/A,9-speed A/T,3075
